id,date,proposalx,d1e1,d2e1,d3e1,turnoutx,titel_kurz_d,age,age_category,part,vote_x,educ
1220146.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,70.0,class65,did,no (rejected),5
1220147.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,79.0,class75,did,no (rejected),8
1220148.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,72.0,class65,did not,,5
1220149.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,76.0,class75,did,voted blank / did not vote for this voting proposal,5
1220150.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,80.0,class75,did,yes (accepted),5
1220151.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,72.0,class65,did,yes (accepted),5
1220152.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,87.0,class75,did not,,4
1220153.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,96.0,class75,did,yes (accepted),5
1220154.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,18.0,class18,did not,,2
1220155.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,65.0,class65,did not,,5
1220156.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,33.0,class25,did,no (rejected),2
1220157.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,78.0,class75,did not,,2
1220158.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,70.0,class65,did,no (rejected),5
1220159.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,19.0,class18,did not,,2
1220160.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,76.0,class75,did,no answer,2
1220161.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,90.0,class75,did,don’t know,6
1220162.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,76.0,class75,did,no (rejected),5
1220163.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,71.0,class65,did,no answer,5
1220164.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,87.0,class75,did,no (rejected),5
1220165.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,81.0,class75,did,yes (accepted),5
1220166.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,76.0,class75,did,yes (accepted),2
1220167.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,81.0,class75,did,voted blank / did not vote for this voting proposal,5
1220168.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,57.0,class55,did not,,2
1220169.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,75.0,class75,did,don’t know,1
1220170.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,73.0,class65,did,no (rejected),5
1220171.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,66.0,class65,did,no (rejected),5
1220172.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,79.0,class75,did,no (rejected),5
1220173.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,80.0,class75,did,no (rejected),5
1220174.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,89.0,class75,did,no (rejected),2
1220175.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,25.0,class25,did,yes (accepted),6
1220176.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,45.0,class45,did,no (rejected),5
1220177.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,80.0,class75,did,yes (accepted),1
1220178.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,50.0,class45,did not,,5
1220179.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,63.0,class55,did,no (rejected),5
1220180.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,69.0,class65,did,don’t know,5
1220181.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,77.0,class75,did,yes (accepted),5
1220182.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,64.0,class55,did,no (rejected),5
1220183.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,72.0,class65,did,no (rejected),5
1220184.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,53.0,class45,did,no (rejected),5
1220185.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,78.0,class75,did,no (rejected),2
1220186.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,22.0,class18,did not,,5
1220187.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,68.0,class65,did,no (rejected),5
1220188.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,68.0,class65,did,no (rejected),5
1220189.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,63.0,class55,did not,,5
1220190.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,57.0,class55,did,no (rejected),5
1220191.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,86.0,class75,did,no (rejected),9
1220192.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,68.0,class65,did,don’t know,5
1220193.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,79.0,class75,did,don’t know,2
1220194.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,76.0,class75,did,no (rejected),2
1220195.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,41.0,class35,did,yes (accepted),5
1220196.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,71.0,class65,did,no (rejected),3
1220197.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,70.0,class65,did,yes (accepted),9
1220198.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,62.0,class55,did not,,8
1220199.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,71.0,class65,did,yes (accepted),1
1220200.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,82.0,class75,did,no (rejected),5
1220201.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,71.0,class65,did,no (rejected),8
1220202.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,58.0,class55,did not,,5
1220203.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,68.0,class65,did not,,2
1220204.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,75.0,class75,did not,,0
1220205.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,45.0,class45,did not,,6
1220206.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,80.0,class75,did not,,5
1220207.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,22.0,class18,did not,,5
1220208.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,52.0,class45,did not,,5
1220209.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,88.0,class75,did,voted blank / did not vote for this voting proposal,5
1220210.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,89.0,class75,did,no (rejected),5
1220211.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,39.0,class35,did not,,5
1220212.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,25.0,class25,did not,,5
1220213.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,81.0,class75,did,yes (accepted),5
1220214.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,80.0,class75,did not,,7
1220215.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,76.0,class75,did,no (rejected),5
1220216.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,22.0,class18,did not,,6
